date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6
2026-09-02,KuPS,1.0,0.0,0.0,0.0,0.0,0.0
2026-09-02,Inter Turku,0.0,1.0,0.0,0.0,0.0,0.0
2026-09-02,HJK Helsinki,0.0,0.0,1.0,0.0,0.0,0.0
2026-09-02,Gnistan,0.0,0.0,0.0,1.0,0.0,0.0
2026-09-02,AC Oulu,0.0,0.0,0.0,0.0,1.0,0.0
2026-09-02,VPS,0.0,0.0,0.0,0.0,0.0,1.0
2026-09-03,KuPS,0.4111,0.4333,0.1174,0.0297,0.0068,0.0017
2026-09-03,Inter Turku,0.5228,0.3446,0.0985,0.0286,0.0048,0.0007
2026-09-03,HJK Helsinki,0.043,0.1282,0.3992,0.25,0.1304,0.0492
2026-09-03,Gnistan,0.0176,0.0655,0.2318,0.3321,0.2251,0.1279
2026-09-03,AC Oulu,0.003,0.0145,0.0785,0.1813,0.3044,0.4183
2026-09-03,VPS,0.0025,0.0139,0.0746,0.1783,0.3285,0.4022
2026-09-04,KuPS,0.4156,0.4299,0.1179,0.028,0.0074,0.0012
2026-09-04,Inter Turku,0.5246,0.3389,0.1027,0.0281,0.0044,0.0013
2026-09-04,HJK Helsinki,0.0392,0.1393,0.3964,0.2495,0.1254,0.0502
2026-09-04,Gnistan,0.0173,0.0639,0.2316,0.3387,0.2242,0.1243
2026-09-04,AC Oulu,0.002,0.0144,0.0771,0.1782,0.3104,0.4179
2026-09-04,VPS,0.0013,0.0136,0.0743,0.1775,0.3282,0.4051
2026-09-05,KuPS,0.4182,0.4291,0.114,0.0309,0.0067,0.0011
2026-09-05,Inter Turku,0.5217,0.3469,0.0988,0.0259,0.006,0.0007
2026-09-05,HJK Helsinki,0.0424,0.1296,0.3947,0.26,0.1242,0.0491
2026-09-05,Gnistan,0.0139,0.0678,0.2418,0.3294,0.2264,0.1207
2026-09-05,AC Oulu,0.002,0.0135,0.0778,0.1798,0.3154,0.4115
2026-09-05,VPS,0.0018,0.0131,0.0729,0.174,0.3213,0.4169
2026-09-06,KuPS,0.4237,0.4248,0.1148,0.0287,0.0065,0.0015
2026-09-06,Inter Turku,0.5195,0.3455,0.1022,0.0264,0.0057,0.0007
2026-09-06,HJK Helsinki,0.0383,0.1383,0.3893,0.2594,0.1258,0.0489
2026-09-06,Gnistan,0.0143,0.063,0.2395,0.3374,0.2181,0.1277
2026-09-06,AC Oulu,0.002,0.0154,0.0807,0.1762,0.3182,0.4075
2026-09-06,VPS,0.0022,0.013,0.0735,0.1719,0.3257,0.4137
2026-09-07,KuPS,0.4162,0.4293,0.1181,0.0289,0.0067,0.0008
2026-09-07,Inter Turku,0.5246,0.3362,0.1025,0.0298,0.006,0.0009
2026-09-07,HJK Helsinki,0.0379,0.1442,0.397,0.248,0.1229,0.05
2026-09-07,Gnistan,0.0174,0.064,0.2284,0.3396,0.2311,0.1195
2026-09-07,AC Oulu,0.0024,0.0145,0.0798,0.1785,0.3074,0.4174
2026-09-07,VPS,0.0015,0.0118,0.0742,0.1752,0.3259,0.4114
2026-09-08,KuPS,0.4167,0.4294,0.1143,0.0299,0.0085,0.0012
2026-09-08,Inter Turku,0.5221,0.3463,0.0947,0.0295,0.0064,0.001
2026-09-08,HJK Helsinki,0.0428,0.1322,0.3913,0.2499,0.1289,0.0549
2026-09-08,Gnistan,0.0143,0.0625,0.2357,0.3291,0.2304,0.128
2026-09-08,AC Oulu,0.0025,0.0157,0.0837,0.185,0.3101,0.403
2026-09-08,VPS,0.0016,0.0139,0.0803,0.1766,0.3157,0.4119
