date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14
2026-08-09,Kalamata,0.0005,0.0052,0.0084,0.0215,0.0381,0.0501,0.0697,0.0841,0.1009,0.1084,0.1194,0.1276,0.1343,0.1318
2026-08-09,Iraklis 1908,0.0006,0.0032,0.0085,0.0167,0.0329,0.05,0.0646,0.0837,0.0946,0.1075,0.1245,0.1274,0.1395,0.1463
2026-08-09,OFI,0.0043,0.0115,0.0248,0.0414,0.0664,0.0941,0.0932,0.1073,0.1095,0.107,0.1017,0.0929,0.0799,0.066
2026-08-09,Panathinaikos,0.1007,0.1473,0.1797,0.1837,0.1295,0.0904,0.0618,0.0404,0.0269,0.0167,0.0109,0.0074,0.0031,0.0015
2026-08-09,AEK Athens FC,0.2787,0.2494,0.1796,0.1217,0.0731,0.0431,0.0232,0.0145,0.0074,0.0046,0.0024,0.0014,0.0005,0.0004
2026-08-09,Olympiakos Piraeus,0.3458,0.2472,0.1683,0.1055,0.0577,0.0332,0.0191,0.011,0.0058,0.0041,0.0012,0.0005,0.0004,0.0002
2026-08-09,Aris Thessalonikis,0.0231,0.0445,0.0792,0.1129,0.138,0.1293,0.1156,0.0947,0.0765,0.0626,0.0442,0.0369,0.026,0.0165
2026-08-09,Asteras Tripolis,0.0022,0.0072,0.0165,0.0326,0.0569,0.0711,0.0819,0.0988,0.1023,0.1142,0.1087,0.1102,0.0987,0.0987
2026-08-09,PAOK,0.2175,0.2211,0.202,0.1414,0.0867,0.0517,0.0347,0.0182,0.0129,0.0058,0.0037,0.0024,0.0013,0.0006
2026-08-09,Levadiakos,0.0153,0.0359,0.0711,0.1006,0.1291,0.1293,0.1187,0.1026,0.0834,0.07,0.0535,0.0418,0.0315,0.0172
2026-08-09,Atromitos,0.0083,0.0171,0.0361,0.0635,0.0939,0.1122,0.1142,0.1063,0.1057,0.0911,0.0835,0.0721,0.0549,0.0411
2026-08-09,Panetolikos,0.001,0.0028,0.0066,0.0134,0.0295,0.0453,0.0654,0.0762,0.0869,0.1072,0.1184,0.1316,0.1504,0.1653
2026-08-09,Kifisia,0.0015,0.0062,0.0146,0.0337,0.0488,0.0681,0.0862,0.1004,0.1062,0.1061,0.1138,0.1175,0.1065,0.0904
2026-08-09,Volos NFC,0.0005,0.0014,0.0046,0.0114,0.0194,0.0321,0.0517,0.0618,0.081,0.0947,0.1141,0.1303,0.173,0.224
2026-08-10,Kalamata,0.0016,0.0035,0.0096,0.0234,0.0334,0.0517,0.0709,0.0903,0.0935,0.1105,0.1199,0.1287,0.1338,0.1292
2026-08-10,Iraklis 1908,0.0007,0.0024,0.0093,0.0166,0.0323,0.0482,0.0662,0.0834,0.0889,0.1046,0.1162,0.1306,0.1462,0.1544
2026-08-10,OFI,0.0034,0.0106,0.0244,0.0438,0.0711,0.0882,0.1027,0.106,0.1029,0.1006,0.1015,0.0967,0.0806,0.0675
2026-08-10,Panathinaikos,0.1046,0.1464,0.1827,0.1685,0.1305,0.0923,0.0622,0.0392,0.0309,0.0201,0.011,0.0064,0.0035,0.0017
2026-08-10,AEK Athens FC,0.2883,0.2416,0.1782,0.1295,0.0711,0.0371,0.0233,0.0127,0.0089,0.0046,0.0031,0.001,0.0006,0.0
2026-08-10,Olympiakos Piraeus,0.3358,0.2469,0.1731,0.1116,0.0601,0.0329,0.0184,0.0102,0.0057,0.0027,0.0018,0.0006,0.0002,0.0
2026-08-10,Aris Thessalonikis,0.0216,0.048,0.0805,0.1079,0.1367,0.1355,0.1122,0.0963,0.0776,0.0624,0.0512,0.0328,0.0242,0.0131
2026-08-10,Asteras Tripolis,0.0026,0.0062,0.0169,0.0321,0.0532,0.0675,0.0889,0.0955,0.1076,0.1138,0.112,0.1084,0.1005,0.0948
2026-08-10,PAOK,0.214,0.225,0.1962,0.1448,0.0905,0.0519,0.0331,0.0193,0.0116,0.0061,0.004,0.0021,0.0009,0.0005
2026-08-10,Levadiakos,0.0172,0.039,0.0628,0.1033,0.1289,0.1259,0.1159,0.1008,0.086,0.0703,0.0548,0.0411,0.0335,0.0205
2026-08-10,Atromitos,0.007,0.0193,0.0397,0.0623,0.0905,0.1157,0.112,0.1136,0.1032,0.0864,0.0811,0.07,0.056,0.0432
2026-08-10,Panetolikos,0.0007,0.0031,0.0072,0.0157,0.0275,0.0458,0.0619,0.078,0.0929,0.1086,0.1166,0.1331,0.1436,0.1653
2026-08-10,Kifisia,0.0022,0.0066,0.0153,0.0315,0.0526,0.0717,0.0843,0.0952,0.1098,0.1085,0.1106,0.1131,0.1069,0.0917
2026-08-10,Volos NFC,0.0003,0.0014,0.0041,0.009,0.0216,0.0356,0.048,0.0595,0.0805,0.1008,0.1162,0.1354,0.1695,0.2181
