date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16
2026-08-09,Slavia Praha,0.693,0.1608,0.0687,0.0348,0.0192,0.0113,0.0056,0.0032,0.0016,0.0011,0.0002,0.0002,0.0003,0.0,0.0,0.0
2026-08-09,FK Jablonec,0.0804,0.1915,0.1631,0.1298,0.1037,0.0799,0.0732,0.0585,0.0429,0.0291,0.0193,0.0142,0.0079,0.0034,0.0026,0.0005
2026-08-09,Mlada Boleslav,0.0175,0.0594,0.0694,0.0845,0.0894,0.0994,0.0944,0.0972,0.0864,0.0768,0.0678,0.0613,0.0405,0.0313,0.0181,0.0066
2026-08-09,Teplice,0.0264,0.0814,0.0981,0.1084,0.1095,0.0986,0.0971,0.0923,0.0794,0.0631,0.0511,0.0409,0.0271,0.0151,0.0086,0.0029
2026-08-09,Hradec Králové,0.0783,0.1752,0.1586,0.1281,0.1126,0.0905,0.071,0.0558,0.0416,0.0355,0.024,0.0146,0.0088,0.0029,0.0013,0.0012
2026-08-09,Slovan Liberec,0.0218,0.0681,0.085,0.1011,0.105,0.1054,0.0975,0.0904,0.0784,0.0725,0.0598,0.0441,0.0338,0.0203,0.0106,0.0062
2026-08-09,Zbrojovka Brno,0.0079,0.034,0.049,0.0631,0.0726,0.0854,0.0892,0.0936,0.0917,0.0973,0.0876,0.0717,0.0583,0.0521,0.033,0.0135
2026-08-09,Bohemians 1905,0.0039,0.0164,0.0296,0.0375,0.0487,0.0632,0.0755,0.0832,0.0916,0.0981,0.1068,0.0997,0.0915,0.0777,0.0501,0.0265
2026-08-09,Sparta Praha,0.0391,0.113,0.1246,0.1099,0.1107,0.0998,0.0897,0.0775,0.0656,0.0555,0.0426,0.0311,0.0219,0.0118,0.0057,0.0015
2026-08-09,Baník Ostrava,0.0016,0.0098,0.02,0.0337,0.0369,0.0453,0.0605,0.0727,0.0924,0.0979,0.1061,0.1094,0.1082,0.088,0.0695,0.048
2026-08-09,Plzen,0.0261,0.0713,0.0949,0.1038,0.1099,0.105,0.0917,0.0849,0.0826,0.0694,0.0535,0.0411,0.0315,0.0199,0.0099,0.0045
2026-08-09,Sigma Olomouc,0.0035,0.015,0.0287,0.0418,0.0483,0.0625,0.0817,0.0873,0.092,0.0999,0.1017,0.1012,0.0863,0.0689,0.0514,0.0298
