date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18
2026-08-09,Excelsior,0.0059,0.0115,0.0188,0.0335,0.0409,0.0533,0.0633,0.0751,0.0785,0.0863,0.0931,0.0928,0.0882,0.0767,0.0684,0.0518,0.0399,0.022
2026-08-09,GO Ahead Eagles,0.008,0.0203,0.0331,0.041,0.0547,0.0679,0.0746,0.086,0.0898,0.0901,0.0842,0.0813,0.0733,0.0645,0.0479,0.0411,0.0275,0.0147
2026-08-09,Ajax,0.1683,0.171,0.1519,0.121,0.1,0.077,0.0585,0.0448,0.0334,0.0255,0.0186,0.0137,0.0066,0.0041,0.003,0.0017,0.0007,0.0002
2026-08-09,AZ Alkmaar,0.1419,0.1581,0.1481,0.1257,0.1035,0.0851,0.0608,0.0498,0.0388,0.0293,0.0196,0.0139,0.0121,0.0064,0.0039,0.0018,0.0009,0.0003
2026-08-09,Telstar,0.0099,0.0193,0.032,0.0482,0.0578,0.0677,0.08,0.085,0.0848,0.0879,0.0804,0.0859,0.0706,0.063,0.0522,0.0357,0.0259,0.0137
2026-08-09,Groningen,0.0239,0.0419,0.0643,0.0779,0.089,0.0895,0.0945,0.0914,0.0824,0.0789,0.0656,0.0532,0.0475,0.0377,0.0243,0.0204,0.0114,0.0062
2026-08-09,Heerenveen,0.0362,0.0569,0.0749,0.0971,0.1009,0.1028,0.0989,0.0863,0.0726,0.0696,0.0546,0.0475,0.0355,0.0257,0.0194,0.0101,0.0074,0.0036
2026-08-09,Feyenoord,0.2041,0.1886,0.1524,0.1235,0.0876,0.07,0.05,0.0385,0.0302,0.019,0.0136,0.0102,0.006,0.0031,0.002,0.0009,0.0003,0.0
2026-08-09,Fortuna Sittard,0.001,0.0032,0.0061,0.0126,0.0186,0.0279,0.0349,0.0409,0.0632,0.0651,0.0782,0.0909,0.1016,0.0996,0.1068,0.0987,0.084,0.0667
2026-08-09,PSV Eindhoven,0.3406,0.2103,0.1466,0.0994,0.0671,0.045,0.0322,0.0206,0.0133,0.0101,0.0066,0.0046,0.0018,0.001,0.0006,0.0002,0.0,0.0
2026-08-09,NEC Nijmegen,0.0119,0.0275,0.0404,0.0532,0.0722,0.0784,0.0829,0.0904,0.0921,0.0836,0.081,0.068,0.0614,0.056,0.0437,0.0284,0.02,0.0089
2026-08-09,Utrecht,0.0165,0.0308,0.0495,0.0598,0.0776,0.0793,0.0873,0.0922,0.087,0.0794,0.0777,0.0673,0.0612,0.0476,0.0383,0.0259,0.0148,0.0078
2026-08-09,Twente,0.0295,0.0559,0.0715,0.086,0.0918,0.1014,0.1007,0.0868,0.0809,0.0723,0.0578,0.0476,0.0401,0.0311,0.0207,0.0142,0.0078,0.0039
2026-08-09,Sparta Rotterdam,0.0014,0.0021,0.0056,0.0094,0.0145,0.0217,0.0321,0.0395,0.0511,0.0618,0.0731,0.083,0.095,0.1097,0.1113,0.1065,0.1036,0.0786
2026-08-09,PEC Zwolle,0.0004,0.0005,0.0011,0.0042,0.0094,0.0132,0.019,0.0232,0.0353,0.0469,0.0569,0.0756,0.0861,0.1008,0.1158,0.134,0.142,0.1356
2026-08-09,ADO Den Haag,0.0003,0.0011,0.0017,0.0041,0.0071,0.0103,0.0153,0.0226,0.031,0.0412,0.0557,0.0668,0.0806,0.0998,0.1182,0.139,0.1462,0.159
2026-08-09,Willem II,0.0001,0.0007,0.0012,0.0017,0.0036,0.0049,0.0079,0.0141,0.0183,0.0275,0.0438,0.0511,0.0674,0.0882,0.1149,0.1434,0.1793,0.2319
2026-08-09,Cambuur,0.0001,0.0003,0.0008,0.0017,0.0037,0.0046,0.0071,0.0128,0.0173,0.0255,0.0395,0.0466,0.065,0.085,0.1086,0.1462,0.1883,0.2469
